"MJD	band	Flux	Flux_err	FilterSet	Instr"
"57991.974218	DECam_Y	6.610700036323582e-18	6.427156723438085e-19	KN_Filters_clean	DECam"
"57991.9944411	DECam_z	5.731422995302232e-18	3.680000462729558e-19	KN_Filters_clean	DECam"
"57991.99966980001	DECam_i	7.292363384342115e-18	3.7982801477825023e-19	KN_Filters_clean	DECam"
"57992.2819	WFC3_IR_F110W	8.473149396048396e-18	3.121623598406542e-19	KN_Filters_clean	WFC3_IR"
"57992.2965	WFC3_IR_F160W	6.448043030720683e-18	2.375546841843036e-19	KN_Filters_clean	WFC3_IR"
"57992.3478	WFC3_UVIS1_F336W	3.191009798369704e-19	7.93537732078591e-20	KN_Filters_clean	WFC3_UVIS1"
"57992.4335	ACS_WFC_F475W	2.5803371828245007e-18	1.4259470237005687e-19	KN_Filters_clean	ACS_WFC"
"57992.498	ACS_WFC_F625W	3.201409691689642e-18	2.0640251051476547e-19	KN_Filters_clean	ACS_WFC"
"57992.5606	ACS_WFC_F775W	3.1741291642465035e-18	2.3387847989850267e-19	KN_Filters_clean	ACS_WFC"
"57992.5732	ACS_WFC_F850W	4.61360927934816e-18	2.1246455903072356e-19	KN_Filters_clean	ACS_WFC"
"57992.9746958	DECam_Y	2.9015454820505602e-18	5.511608979896495e-19	KN_Filters_clean	DECam"
"57992.984	RetroCam_H	9.465206086483679e-18	7.845999277264039e-19	KN_Filters_clean	RetroCam"
"57992.9867745	DECam_z	2.5652043198600737e-18	3.037369824712141e-19	KN_Filters_clean	DECam"
"57993.0000214	DECam_i	2.864970828782131e-18	2.7180282319902415e-19	KN_Filters_clean	DECam"
"57993.997	SOFI_H	7.120218251314057e-18	9.181148706427961e-19	KN_Filters_clean	SOFI"
"57994.962	FourStar_Ks	5.0928944473642865e-18	4.221656220490813e-19	KN_Filters_clean	FourStar"
"57994.985	SOFI_Ks	5.162930089229801e-18	4.279710909466149e-19	KN_Filters_clean	SOFI"
"57995.978	FourStar_Ks	4.395058654117523e-18	3.643198754334963e-19	KN_Filters_clean	FourStar"
"57995.99	SOFI_Ks	4.665479057999423e-18	3.867358511022096e-19	KN_Filters_clean	SOFI"
"57997.9697	FourStar_Ks	2.285412904672711e-18	2.1049430742540917e-19	KN_Filters_clean	FourStar"
"58000.96	FourStar_Ks	1.3395677251039066e-18	1.6039237109318358e-19	KN_Filters_clean	FourStar"
"58000.99	FourStar_Ks	1.1994017421267619e-18	1.8779727089123837e-19	KN_Filters_clean	FourStar"
"57982.67461851631	Swope_V	3.0700974307454913e-18	3.0700974307454913e-19	SUDO_PTS	SUDO_PTS"
"57982.88651851095	Swope_V	1.8433923447652434e-17	1.843392344765243e-18	SUDO_PTS	SUDO_PTS"
"57983.01321850775	Swope_V	3.3790744907336594e-17	3.3790744907336597e-18	SUDO_PTS	SUDO_PTS"
"57983.11311850523	Swope_V	4.9155186519826974e-17	4.915518651982698e-18	SUDO_PTS	SUDO_PTS"
"57983.19821850308	Swope_V	6.450781387502209e-17	6.4507813875022105e-18	SUDO_PTS	SUDO_PTS"
"57983.27371850117	Swope_V	7.98725258893108e-17	7.98725258893108e-18	SUDO_PTS	SUDO_PTS"
"57983.34221849944	Swope_V	9.523144152462461e-17	9.523144152462461e-18	SUDO_PTS	SUDO_PTS"
"57983.405418497845	Swope_V	1.1059916966961068e-16	1.105991696696107e-17	SUDO_PTS	SUDO_PTS"
"57983.46431849636	Swope_V	1.2595569483796264e-16	1.2595569483796265e-17	SUDO_PTS	SUDO_PTS"
"57983.51971849496	Swope_V	1.4131046095631797e-16	1.4131046095631798e-17	SUDO_PTS	SUDO_PTS"
"57983.57221849363	Swope_V	1.5667622293503638e-16	1.566762229350364e-17	SUDO_PTS	SUDO_PTS"
"57983.62221849237	Swope_V	1.7204741452433307e-16	1.7204741452433308e-17	SUDO_PTS	SUDO_PTS"
