MJD	Bessell_B	Bessell_B_err	Bessell_I	Bessell_I_err	Bessell_R	Bessell_R_err	Bessell_U	Bessell_U_err	Bessell_V	Bessell_V_err	sdss_g'	sdss_g'_err	sdss_i'	sdss_i'_err	sdss_r'	sdss_r'_err	sdss_z'	sdss_z'_err
56461.13000000017	1.2110211393859874e-15	5.3741875617952644e-17	3.099609235899536e-16	1.4628560263966834e-17	7.082257620614902e-16	4.788243556136228e-17	8.768669263006776e-16	1.0260680836032718e-16	9.73920249681456e-16	4.6939650882602516e-17	1.017153261139814e-15	9.773266265629911e-18	3.6652545345617164e-16	3.213350953190268e-17	7.642285674845861e-16	5.117279732804015e-17	2.8374715249967553e-16	1.901578093144415e-17
56461.180000000175	1.2352345933087419e-15	5.626739415707736e-17	3.1684602491448653e-16	1.4328606381197363e-17	7.226573401797543e-16	4.744832047648827e-17	8.933183643317167e-16	1.0155336914184842e-16	9.93458532840753e-16	4.6669676958410736e-17	1.0417018553277624e-15	9.473565595030823e-18	3.7533484808900954e-16	3.1576387684271754e-17	7.799818559432916e-16	5.01342707444834e-17	2.8939952453516333e-16	1.8580871856040654e-17
56461.23000000018	1.2593542999950133e-15	5.891690713032382e-17	3.2373530080672567e-16	1.4034657795045374e-17	7.370907733607564e-16	4.702002428853155e-17	9.095800179900515e-16	1.003649204308299e-16	1.0130089652304685e-15	4.641988501859262e-17	1.0662743763292086e-15	9.368528683293984e-18	3.8417187566657933e-16	3.101510682350491e-17	7.957468771806518e-16	4.910638877023569e-17	2.9504319606563056e-16	1.8150617170460817e-17
56461.28000000018	1.2833908422419993e-15	6.165035218760005e-17	3.3062871301404636e-16	1.3746868995936268e-17	7.515258021699032e-16	4.659730453582806e-17	9.256847326906563e-16	9.90182090922991e-17	1.0325722164419655e-15	4.6188834623182875e-17	1.0908709110373919e-15	9.45579120078304e-18	3.930362768635016e-16	3.044966976591548e-17	8.115236378023881e-16	4.8089390447006505e-17	3.006773571979509e-16	1.7725833255249393e-17
56461.330000000184	1.3073547998569674e-15	6.443426821190145e-17	3.3752622328474465e-16	1.3465403079125885e-17	7.659621671893241e-16	4.617992123588287e-17	9.416653311081538e-16	9.749613572770054e-17	1.0521489560835982e-15	4.597509214217587e-17	1.1154916415850172e-15	9.71773044023473e-18	4.0192779269289824e-16	2.988014079441681e-17	8.2731214440210855e-16	4.708352695487213e-17	3.0630119793632316e-16	1.7307453087848266e-17
56461.38000000019	1.3312567499904468e-15	6.72408920614895e-17	3.444277933675538e-16	1.3190431683827444e-17	7.803996089632537e-16	4.5767637201154285e-17	9.575546171525952e-16	9.57884212871109e-17	1.0717398537742415e-15	4.577723669477438e-17	1.1401367552498526e-15	1.0128954800503802e-17	4.108461645028273e-16	2.930664697037028e-17	8.431124035896542e-16	4.608906234888097e-17	3.119139081739542e-16	1.6896531733848157e-17
56461.43000000019	1.3551072674687125e-15	7.004726118405713e-17	3.5133338501785494e-16	1.292213480293806e-17	7.948378680336996e-16	4.5360218364185674e-17	9.733853799433447e-16	9.389236566261113e-17	1.0913455791401206e-15	4.5593865691927685e-17	1.1648064394384385e-15	1.0661232200353908e-17	4.197911339723758e-16	2.872937956446085e-17	8.589244219465424e-16	4.510627432488608e-17	3.1751467768478347e-16	1.6494251173342007e-17
56461.48000000019	1.3789169251272528e-15	7.28344018895439e-17	3.582429599826394e-16	1.2660700491633105e-17	8.092766850076091e-16	4.4957434072174616e-17	9.891903977815621e-16	9.181376722130771e-17	1.110966801820648e-15	4.542359993110676e-17	1.189500881368453e-15	1.1287357437441625e-17	4.2876244310811837e-16	2.8148595617221676e-17	8.747482060786391e-16	4.413545503814242e-17	3.231026961154124e-16	1.6101924011333176e-17
56461.530000000195	1.4026962941431422e-15	7.55866319805324e-17	3.651564800236566e-16	1.2406324441059274e-17	8.237158004129538e-16	4.455905739913573e-17	1.0050024421215867e-15	8.95680714875465e-17	1.1306041914757157e-15	4.526508824498332e-17	1.2142202684464384e-15	1.1983378804952306e-17	4.3775983424016683e-16	2.7564619636412186e-17	8.905837626283115e-16	4.31769119435575e-17	3.2867715297650706e-16	1.572099548929943e-17
56461.5800000002	1.42645594436806e-15	7.829097941510859e-17	3.7207390689355227e-16	1.2159209380653556e-17	8.381549548171482e-16	4.4164865430905493e-17	1.020854281541476e-15	8.718181055747998e-17	1.1502584177788165e-15	4.51170116600054e-17	1.238964788050323e-15	1.2729372065493993e-17	4.4678305001862025e-16	2.6977845433900553e-17	9.064310982055426e-16	4.223096865570073e-17	3.342372376349357e-16	1.5353043067811143e-17
56461.6300000002	1.4502064446611267e-15	8.093670623282527e-17	3.789952023551974e-16	1.1919564306287347e-17	8.525938887993038e-16	4.3774639550305345e-17	1.0367786857132627e-15	8.46943736932858e-17	1.1699301504104183e-15	4.4978087079851725e-17	1.2637346275050975e-15	1.350931919150045e-17	4.558318334100833e-16	2.6388738098381474e-17	9.222902193960477e-16	4.1297965871933225e-17	3.397821393051957e-16	1.4999772698309002e-17
56461.680000000204	1.4739583632215424e-15	8.351492258180586e-17	3.8592032815304845e-16	1.168760351548593e-17	8.670323429096883e-16	4.3388165715562395e-17	1.052808429373177e-15	8.216009787174407e-17	1.1896200590771219e-15	4.484707048479763e-17	1.2885299742173078e-15	1.4310584047560036e-17	4.649059276931096e-16	2.5797836091968927e-17	9.381611328341883e-16	4.0378262278809726e-17	3.453110470412671e-16	1.466301076162912e-17
