MJD,Mag,Mag_err,Flux,Flux_err,band,Instr,FilterSet
57985.974,17.72,0.07,3.84470326608e-17,2.47877179969e-18,GROND_H,GROND,GeneralFilters
57985.974,17.95,0.07,5.75754906463e-17,3.71202906155e-18,GROND_J,GROND,GeneralFilters
57985.974,17.63,0.1,2.37525071937e-17,2.18768675942e-18,GROND_K,GROND,GeneralFilters
57985.974,21.13,0.16,2.44084522329e-17,3.59696244828e-18,GROND_g,GROND,GeneralFilters
57985.974,19.03,0.01,5.09148724504e-17,4.68943305264e-19,GROND_i,GROND,GeneralFilters
57985.974,19.81,0.02,4.35247183346e-17,8.01754940913e-19,GROND_r,GROND,GeneralFilters
57985.974,18.74,0.02,4.9859544171e-17,9.18446745214e-19,GROND_z,GROND,GeneralFilters
57985.979,17.54,0.02,2.6298458145e-17,4.84435501546e-19,VISTA_Ks,VIRCAM,GeneralFilters
57985.983,18.05,0.03,7.19638701993e-17,1.98843521706e-18,DECam_Y,DECam,GeneralFilters
57985.984,18.56,0.03,5.60636316773e-17,1.54909539071e-18,DECam_z,DECam,GeneralFilters
57985.984,23.06,0.32,5.10252125514e-18,1.50387064048e-18,DECam_u,DECam,GeneralFilters
57985.984,18.73,0.03,6.8725322813e-17,1.89895084585e-18,DECam_i,DECam,GeneralFilters
57985.985,19.29,0.04,6.34660089557e-17,2.33817417813e-18,DECam_r,DECam,GeneralFilters
57985.986,20.93,0.08,2.77164199491e-17,2.04222129299e-18,DECam_g,DECam,GeneralFilters
57985.989,17.76,0.01,8.96279669093e-17,8.25504082083e-19,VISTA_Y,VIRCAM,GeneralFilters
57985.989,17.86,0.02,5.65335960277e-17,1.04138732373e-18,VISTA_J,VIRCAM,GeneralFilters
57985.989,20.52,0.12,2.70969346208e-17,2.99486389073e-18,Swope_V,E2V4kx4kccd,GeneralFilters
57985.995,21.72,0.13,1.48408167826e-17,1.77695666156e-18,Swope_B,E2V4kx4kccd,GeneralFilters
57986.001,20.77,0.05,3.18825861068e-17,1.46824734991e-18,Swope_g,E2V4kx4kccd,GeneralFilters
57986.005,18.92,0.05,5.9257458459e-17,2.72890680993e-18,Swope_i,E2V4kx4kccd,GeneralFilters
57986.008,19.82,0.09,4.05606088038e-17,3.362193115e-18,Swope_r,E2V4kx4kccd,GeneralFilters
57986.016,20.55,0.15,2.6840380165e-17,3.7081355555e-18,EFOSC2_V,EFOSC2,GeneralFilters
57986.039,20.9,0.01,2.97464864084e-17,2.73975264692e-19,GMOS_g,GMOS,GeneralFilters
57986.039,18.93,0.01,5.8747510007e-17,5.41084563171e-19,GMOS_i,GMOS,GeneralFilters
57986.039,19.66,0.01,4.7201715724e-17,4.34743867959e-19,GMOS_r,GMOS,GeneralFilters
57986.049,18.46,0.01,6.29501497732e-17,5.79792305878e-19,GMOS_z,GMOS,GeneralFilters
57986.053,20.68,0.31,2.38116046288e-17,6.79870248646e-18,EFOSC2_V,EFOSC2,GeneralFilters
57986.236,18.1,0.3,9.18673438984e-17,2.53838851912e-17,GFC_z,GFC,GeneralFilters
57986.709,17.77,0.04,3.74346126739e-17,1.37914209768e-18,SIRIUS_H,SIRIUS,GeneralFilters
57986.709,18.13,0.12,4.36368423484e-17,4.82292204944e-18,SIRIUS_J,SIRIUS,GeneralFilters
57986.709,17.57,0.07,2.54264045253e-17,1.6393008808e-18,SIRIUS_Ks,SIRIUS,GeneralFilters
57986.715,20.3,0.31,2.6601858697e-17,7.59537736692e-18,Sinistro_r,Sinistro,GeneralFilters
57986.969,20.25,0.28,2.78555656728e-17,7.18365875082e-18,Sinistro_r,Sinistro,GeneralFilters
57986.97,20.24,0.06,2.62282689528e-17,1.44942770654e-18,FORS2_R,FORS2,GeneralFilters
57986.973,17.92,0.1,3.30433372432e-17,3.04340383036e-18,FLAMINGOS-2_H,FLAMINGOS-2,GeneralFilters
57986.974,18.02,0.1,2.91650568029e-17,2.68620100122e-18,GROND_H,GROND,GeneralFilters
57986.974,18.17,0.07,4.70151306841e-17,3.03117749363e-18,GROND_J,GROND,GeneralFilters
57986.974,17.53,0.11,2.60441062416e-17,2.63862591486e-18,GROND_K,GROND,GeneralFilters
57986.974,21.58,0.22,1.61265044663e-17,3.26767309318e-18,GROND_g,GROND,GeneralFilters
57986.974,19.51,0.04,3.27223631527e-17,1.20553640965e-18,GROND_i,GROND,GeneralFilters
57986.974,20.53,0.05,2.24251816334e-17,1.03271777873e-18,GROND_r,GROND,GeneralFilters
57986.974,19.07,0.06,3.67915685561e-17,2.03317721532e-18,GROND_z,GROND,GeneralFilters
57986.975,18.35,0.03,5.45901781455e-17,1.50838236506e-18,DECam_Y,DECam,GeneralFilters
57986.978,18.81,0.03,4.45329255824e-17,1.23049020712e-18,DECam_z,DECam,GeneralFilters
57986.979,17.6,0.02,2.48845783834e-17,4.58390873848e-19,VISTA_Ks,VIRCAM,GeneralFilters
57986.98,18.73,0.01,4.95638186738e-17,4.56499640121e-19,VIMOS_z,VIMOS,GeneralFilters
57986.98,19.22,0.03,4.37639777403e-17,1.20924339306e-18,DECam_i,DECam,GeneralFilters
57986.984,20.25,0.05,2.62144764604e-17,1.20722125437e-18,DECam_r,DECam,GeneralFilters
57986.988,19.39,0.04,3.84364280011e-17,1.41605033829e-18,Swope_i,E2V4kx4kccd,GeneralFilters
57986.989,18.07,0.02,6.73664318733e-17,1.2409355344e-18,VISTA_Y,VIRCAM,GeneralFilters
57986.989,18.08,0.03,4.61643379057e-17,1.27556779548e-18,VISTA_J,VIRCAM,GeneralFilters
57986.991,21.73,0.11,1.32659126391e-17,1.34401927826e-18,DECam_g,DECam,GeneralFilters
57986.997,20.58,0.12,2.01420868853e-17,2.22618571219e-18,Swope_r,E2V4kx4kccd,GeneralFilters
57987.004,21.75,0.1,1.29286607985e-17,1.19077366508e-18,Swope_g,E2V4kx4kccd,GeneralFilters
57987.01,19.28,0.06,4.04431207548e-17,2.23496944714e-18,FORS2_I,FORS2,GeneralFilters
57987.02,22.73,0.13,6.35138882456e-18,7.60479887817e-19,FORS2_B,FORS2,GeneralFilters
57987.02,21.08,0.05,1.63741174697e-17,7.54055975931e-19,FORS2_V,FORS2,GeneralFilters
57987.039,17.72,0.09,2.22495831689e-17,1.84433610708e-18,FLAMINGOS-2_Ks,FLAMINGOS-2,GeneralFilters
57987.049,18.02,0.07,3.01358817343e-17,1.94293209728e-18,FLAMINGOS-2_H,FLAMINGOS-2,GeneralFilters
57987.049,18.15,0.06,4.30254443529e-17,2.37767392288e-18,FLAMINGOS-2_J,FLAMINGOS-2,GeneralFilters
57987.358,20.69,0.33,1.85742797509e-17,5.64548947612e-18,Sinistro_r,Sinistro,GeneralFilters
57987.709,17.94,0.05,3.20090912072e-17,1.47407312508e-18,SIRIUS_H,SIRIUS,GeneralFilters
57987.709,18.31,0.06,3.69703291041e-17,2.04305588828e-18,SIRIUS_J,SIRIUS,GeneralFilters
57987.709,17.68,0.04,2.29765570679e-17,8.46487644688e-19,SIRIUS_Ks,SIRIUS,GeneralFilters
57987.975,18.83,0.18,3.50844369802e-17,5.81651291425e-18,DECam_Y,DECam,GeneralFilters
57987.977,19.17,0.11,3.19654797567e-17,3.23854243584e-18,DECam_z,DECam,GeneralFilters
57987.979,19.55,0.18,3.22936243018e-17,5.35383488996e-18,DECam_i,DECam,GeneralFilters
57987.983,20.79,0.24,1.59419406758e-17,3.52393679553e-18,DECam_r,DECam,GeneralFilters
57987.99,22.03,0.42,1.00632238403e-17,3.89280010596e-18,DECam_g,DECam,GeneralFilters
57988.002,20.27,0.12,1.70900376991e-17,1.88886077014e-18,Swope_i,E2V4kx4kccd,GeneralFilters
57988.234,18.95,0.44,3.34117544755e-17,1.35402797704e-17,GFC_y,GFC,GeneralFilters
57988.729,18.12,0.04,2.71189795725e-17,9.99100129612e-19,SIRIUS_H,SIRIUS,GeneralFilters
57988.729,18.6,0.18,1.74290350774e-17,2.88949221752e-18,SIRIUS_H,SIRIUS,GeneralFilters
57988.729,18.36,0.05,3.53063901972e-17,1.62591935511e-18,SIRIUS_J,SIRIUS,GeneralFilters
57988.729,18.65,0.19,2.70304525372e-17,4.73023369725e-18,SIRIUS_J,SIRIUS,GeneralFilters
57988.729,17.69,0.03,2.27659067266e-17,6.29045249485e-19,SIRIUS_Ks,SIRIUS,GeneralFilters
57988.729,18.01,0.1,1.69544986542e-17,1.56156703442e-18,SIRIUS_Ks,SIRIUS,GeneralFilters
57988.974,19.06,0.31,2.83866740857e-17,8.10497884109e-18,DECam_Y,DECam,GeneralFilters
57988.98,20.14,0.07,1.83165915136e-17,1.18091429606e-18,FORS2_I,FORS2,GeneralFilters
57988.985,20.95,0.35,1.3757552813e-17,4.43491104325e-18,DECam_r,DECam,GeneralFilters
57988.989,17.84,0.03,1.99494206066e-17,5.51222862032e-19,VISTA_Ks,VIRCAM,GeneralFilters
57988.996,22.08,0.52,9.61030415897e-18,4.60273696388e-18,DECam_g,DECam,GeneralFilters
57988.999,18.71,0.04,3.73631553072e-17,1.376509511e-18,VISTA_Y,VIRCAM,GeneralFilters
