MJD	band	Flux	Flux_err	FilterSet	Instr	Phase	Log_Phase	Log_Flux	Log_Flux_err
57982.952618509284	FourStar_J	5.2558660302485976e-17	5.2558660302485975e-18	SUDO_PTS	SUDO_PTS	0.42409998928633286	-0.37253173851149196	-16.27935571328566	0.043429448190325175
57982.55721851927	FourStar_Ks	2.6980654013358085e-19	1.0726071104030485e-19	SUDO_PTS	SUDO_PTS	0.028699999274977017	-1.5421181142372091	-18.568947527201182	0.17265235641345292
57982.66451851656	FourStar_Ks	1.6176427280241198e-18	5.970020157806424e-19	SUDO_PTS	SUDO_PTS	0.13599999656435102	-0.8664611026009841	-17.791117390252072	0.16027932289804422
57982.74011851465	FourStar_Ks	2.9644473357557715e-18	1.0411243086106825e-18	SUDO_PTS	SUDO_PTS	0.21159999465453438	-0.6744843476080534	-17.528056260614623	0.15252574628372778
57982.800118513136	FourStar_Ks	4.312500849712078e-18	1.458134068510741e-18	SUDO_PTS	SUDO_PTS	0.2715999931388069	-0.5660702453627375	-17.365270806347603	0.14684277218673064
57982.85091851185	FourStar_Ks	5.660727663167184e-18	1.863288558123028e-18	SUDO_PTS	SUDO_PTS	0.32239999185549095	-0.49160497783814855	-17.247127738460883	0.14295263562167912
57982.89581851072	FourStar_Ks	7.009148889137835e-18	2.2515988871189188e-18	SUDO_PTS	SUDO_PTS	0.36729999072122155	-0.4349790826259078	-17.154334714585694	0.13951151382311855
57982.936718509685	FourStar_Ks	8.356346574084413e-18	2.6030961796602047e-18	SUDO_PTS	SUDO_PTS	0.40819998968800064	-0.38912701059114985	-17.077983556234678	0.13528762799234786
57982.97491850872	FourStar_Ks	9.703164982209316e-18	2.9175043159498748e-18	SUDO_PTS	SUDO_PTS	0.4463999887229875	-0.3502758250416792	-17.013086584278973	0.13058172541321209
57983.0114185078	FourStar_Ks	1.105307782304945e-17	3.189522546713488e-18	SUDO_PTS	SUDO_PTS	0.4828999878009199	-0.31614280557085517	-16.956516772164914	0.12532183923061457
57982.52961851997	GFC_i	3.5619352118840264e-18	3.5619352118840267e-19	SUDO_PTS	SUDO_PTS	0.0010999999722116627	-2.9586073258129764	-17.44831398419258	0.04342944819032518
57982.53501851983	GFC_i	2.064321259347348e-17	2.0643212593473483e-18	SUDO_PTS	SUDO_PTS	0.0064999998357961886	-2.187086654328346	-16.685222714842897	0.04342944819032518
57982.54071851969	GFC_i	3.795417975279815e-17	3.795417975279815e-18	SUDO_PTS	SUDO_PTS	0.012199999691802077	-1.9136401802964533	-16.42074038989711	0.04342944819032518
57982.54661851954	GFC_i	5.5110599359978326e-17	5.511059935997833e-18	SUDO_PTS	SUDO_PTS	0.01809999954275554	-1.742321436102017	-16.258764865742524	0.04342944819032518
57982.55281851938	GFC_i	7.23239245839496e-17	7.23239245839496e-18	SUDO_PTS	SUDO_PTS	0.024299999386130366	-1.6143937373728894	-16.14071801534647	0.043429448190325175
57982.55941851922	GFC_i	8.975421036283084e-17	8.975421036283084e-18	SUDO_PTS	SUDO_PTS	0.030899999219400343	-1.5100415315463669	-16.04694516955237	0.04342944819032518
